classID,studentID,classGrade
1064,10000,79
1001,10000,81
1290,10000,85
1099,10000,62
1036,10000,72
1229,10000,84
1134,10000,88
1199,10000,74
1096,10001,96
1009,10001,94
1034,10001,98
1067,10001,87
1260,10001,65
1293,10001,90
1142,10001,66
1167,10001,83
1128,10002,98
1321,10002,96
1098,10002,93
1227,10002,90
1268,10002,66
1005,10002,84
1070,10002,77
1039,10002,71
1104,10003,87
1017,10003,65
1258,10003,76
1131,10003,88
1324,10003,74
1037,10003,74
1198,10003,92
1071,10003,92
1112,10004,73
1129,10004,88
1226,10004,86
1163,10004,97
1068,10004,94
1013,10004,92
1206,10004,93
1047,10004,94
1288,10005,90
1329,10005,79
1106,10005,73
1075,10005,92
1228,10005,70
1045,10005,66
1150,10005,75
1007,10005,92
1136,10006,83
1065,10006,98
1002,10006,96
1107,10006,85
1276,10006,89
1053,10006,89
1326,10006,85
1175,10006,91
1000,10007,70
1257,10007,92
1322,10007,89
1291,10007,69
1044,10007,92
1069,10007,88
1158,10007,77
1103,10007,91
1032,10008,99
1025,10008,81
1330,10008,90
1235,10008,82
1100,10008,90
1197,10008,73
1078,10008,84
1135,10008,92
1192,10009,87
1073,10009,65
1162,10009,79
1299,10009,97
1004,10009,98
1133,10009,88
1038,10009,99
1111,10009,96
1296,10010,76
1265,10010,62
1066,10010,96
1115,10010,95
1052,10010,94
1165,10010,81
1134,10010,83
1015,10010,89
1320,10011,76
1137,10011,88
1042,10011,80
1083,10011,64
1012,10011,86
1261,10011,92
1102,10011,99
1231,10011,70
1144,10012,90
1033,10012,74
1338,10012,87
1123,10012,75
1292,10012,71
1021,10012,84
1086,10012,74
1263,10012,84
1120,10013,64
1001,10013,96
1074,10013,77
1307,10013,73
1060,10013,67
1325,10013,78
1262,10013,76
1143,10013,64
1096,10014,79
1009,10014,80
1082,10014,90
1035,10014,66
1132,10014,91
1269,10014,91
1214,10014,84
1327,10014,80
1008,10015,92
1273,10015,76
1130,10015,71
1171,10015,97
1076,10015,80
1301,10015,72
1046,10015,62
1119,10015,71
1040,10016,85
1081,10016,80
1298,10016,85
1323,10016,66
1108,10016,91
1141,10016,90
1006,10016,77
1207,10016,87
1072,10017,68
1337,10017,98
1114,10017,84
1139,10017,73
1164,10017,89
1061,10017,93
1014,10017,70
1271,10017,90
1048,10018,75
1097,10018,73
1090,10018,72
1147,10018,73
1300,10018,88
1029,10018,59
1270,10018,72
1183,10018,93
1256,10019,69
1145,10019,69
1066,10019,87
1315,10019,99
1036,10019,81
1101,10019,84
1222,10019,67
1023,10019,90
1304,10020,66
1225,10020,86
1170,10020,80
1099,10020,90
1084,10020,80
1149,10020,67
1054,10020,90
1031,10020,92
1080,10021,62
1105,10021,96
1010,10021,90
1155,10021,95
1196,10021,56
1277,10021,93
1166,10021,65
1055,10021,64
1264,10022,95
1089,10022,71
1194,10022,81
1131,10022,94
1044,10022,90
1005,10022,76
1294,10022,76
1127,10022,71
1088,10023,61
1193,10023,91
1122,10023,81
1139,10023,75
1020,10023,83
1237,10023,71
1062,10023,93
1191,10023,78
1064,10024,71
1113,10024,72
1050,10024,99
1003,10024,68
1204,10024,78
1285,10024,84
1174,10024,90
1151,10024,91
1016,10025,86
1041,10025,99
1234,10025,63
1091,10025,77
1140,10025,97
1205,10025,84
1110,10025,84
1279,10025,85
1056,10026,96
1017,10026,80
1138,10026,67
1067,10026,77
1332,10026,91
1109,10026,77
1230,10026,84
1215,10026,87
1072,10027,67
1281,10027,83
1018,10027,63
1107,10027,74
1236,10027,92
1037,10027,86
1334,10027,73
1159,10027,89
1024,10028,97
1121,10028,87
1242,10028,72
1195,10028,73
1148,10028,93
1077,10028,81
1302,10028,82
1063,10028,85
1328,10029,84
1233,10029,69
1146,10029,80
1291,10029,73
1028,10029,93
1045,10029,74
1094,10029,70
1103,10029,72
1200,10030,86
1065,10030,62
1154,10030,61
1011,10030,78
1172,10030,84
1261,10030,84
1038,10030,99
